Elapsed Time (s),Temperature (°C),Clock Speed (MHz),Voltage Core (V)
0,34.7,1000,1.4
1,33.6,700,1.4
2,33.6,700,1.4
3,33.6,700,1.2
4,33.6,700,1.2
6,33.6,700,1.2
7,33.6,700,1.4
8,33.6,700,1.2
9,34.2,800,1.4
10,34.2,700,1.4
11,34.2,1000,1.4
12,33.6,700,1.2
13,34.2,700,1.4
14,34.2,700,1.4
15,34.2,700,1.4
17,34.7,700,1.2
18,34.7,700,1.2
19,34.2,700,1.4
20,33.6,699,1.2
21,34.7,700,1.4
22,34.2,700,1.2
23,34.7,700,1.4
24,34.2,700,1.2
25,34.7,700,1.2
27,34.7,700,1.4
28,34.7,800,1.4
29,34.7,700,1.2
30,34.7,700,1.4
31,34.7,700,1.4
32,34.7,700,1.2
33,34.7,700,1.4
34,34.7,700,1.2
35,34.7,700,1.4
37,34.7,700,1.2
38,34.7,700,1.2
39,34.7,700,1.4
40,34.7,700,1.4
41,34.7,700,1.2
42,34.7,700,1.2
43,34.7,700,1.4
44,34.7,700,1.2
45,34.7,700,1.2
47,34.7,700,1.4
48,34.7,700,1.2
49,34.7,700,1.2
50,35.2,700,1.2
51,35.8,700,1.4
52,34.7,700,1.2
53,34.7,700,1.4
54,34.7,700,1.4
55,35.8,700,1.4
57,35.2,700,1.2
58,35.2,700,1.2
59,34.7,700,1.4
60,35.8,700,1.4
61,34.7,700,1.4
62,35.2,700,1.2
63,34.7,700,1.4
64,34.7,700,1.2
65,34.7,700,1.4
66,34.7,700,1.2
68,35.2,700,1.4
69,35.8,700,1.2
70,35.2,700,1.4
71,35.8,800,1.4
72,35.8,700,1.4
73,35.8,700,1.2
74,35.8,700,1.2
75,35.2,700,1.4
76,34.7,700,1.2
78,34.7,700,1.2
79,35.8,700,1.4
80,35.8,700,1.2
81,35.8,700,1.2
82,35.2,700,1.2
83,34.7,700,1.4
84,35.8,700,1.2
85,35.8,700,1.2
86,35.8,699,1.4
88,35.8,799,1.4
89,35.8,700,1.2
90,35.8,700,1.4
91,34.7,700,1.4
92,35.8,700,1.2
93,35.8,699,1.2
94,35.8,700,1.2
95,35.8,700,1.4
96,35.8,700,1.2
98,35.8,700,1.4
99,35.8,700,1.4
100,35.8,800,1.4
101,35.8,700,1.2
102,35.8,700,1.2
103,35.8,700,1.4
104,35.8,700,1.2
105,35.8,700,1.2
106,35.2,700,1.4
107,35.8,700,1.2
109,35.8,700,1.2
110,35.8,700,1.4
111,35.8,800,1.4
112,35.8,700,1.4
113,35.8,700,1.2
114,35.8,700,1.4
115,35.8,700,1.2
116,35.8,700,1.4
117,35.8,700,1.2
119,35.8,700,1.4
120,35.8,700,1.2
121,36.3,700,1.4
122,35.8,700,1.2
123,35.8,700,1.2
124,35.8,700,1.2
125,36.3,700,1.2
126,35.8,700,1.4
127,35.8,800,1.4
129,35.8,700,1.2
130,35.8,700,1.4
131,35.8,700,1.4
132,35.8,800,1.4
133,35.8,700,1.2
134,35.8,700,1.2
135,35.8,700,1.4
136,35.8,700,1.2
137,36.9,1000,1.4
138,36.3,700,1.4
140,35.8,700,1.2
141,36.9,700,1.2
142,35.8,700,1.2
143,36.3,700,1.4
144,35.8,700,1.2
145,35.8,700,1.2
146,35.8,700,1.2
147,36.3,700,1.4
148,36.3,700,1.4
150,36.3,700,1.2
151,36.3,700,1.4
152,36.3,700,1.2
153,36.3,700,1.2
154,36.3,700,1.2
155,36.3,700,1.4
156,36.9,700,1.2
157,36.9,700,1.2
158,35.8,700,1.4
160,35.8,700,1.4
161,35.8,700,1.2
162,35.8,700,1.4
163,35.8,700,1.4
164,36.3,800,1.4
165,35.8,700,1.4
166,36.3,700,1.2
167,36.3,700,1.4
168,35.8,700,1.2
170,35.8,700,1.2
171,36.9,700,1.4
172,36.9,700,1.2
173,36.3,700,1.4
174,36.3,800,1.4
175,36.9,700,1.4
176,35.8,700,1.2
177,36.3,700,1.2
178,36.3,700,1.4
179,35.8,700,1.4
181,37.9,1000,1.4
182,37.9,1000,1.4
183,39.0,1000,1.4
184,39.0,1000,1.4
185,39.0,1000,1.4
186,39.0,1000,1.4
188,40.1,1000,1.4
189,40.1,1000,1.4
190,40.1,1000,1.4
191,40.1,1000,1.4
192,40.1,1000,1.4
193,40.1,1000,1.4
195,40.1,1000,1.4
196,41.2,1000,1.4
197,40.6,1000,1.4
198,41.2,1000,1.4
199,40.6,999,1.4
200,41.2,1000,1.4
202,41.2,1000,1.4
203,41.2,1000,1.4
204,41.2,1000,1.4
205,41.2,1000,1.4
206,41.2,1000,1.4
207,41.2,1000,1.4
208,41.2,1000,1.4
210,41.7,1000,1.4
211,42.2,1000,1.4
212,42.2,1000,1.4
213,42.2,1000,1.4
214,42.2,1000,1.4
215,42.2,1000,1.4
217,41.7,1000,1.4
218,42.8,1000,1.4
219,42.2,1000,1.4
220,42.8,1000,1.4
221,42.2,1000,1.4
222,42.2,1000,1.4
224,43.3,1000,1.4
225,42.2,999,1.4
226,42.8,1000,1.4
227,42.8,1000,1.4
228,43.3,1000,1.4
229,42.8,1000,1.4
230,42.2,1000,1.4
232,42.8,1000,1.4
233,42.8,1000,1.4
234,43.3,999,1.4
235,43.3,1000,1.4
236,42.8,1000,1.4
237,43.3,1000,1.4
239,42.8,1000,1.4
240,43.3,1000,1.4
241,43.3,1000,1.4
242,43.3,1000,1.4
243,43.3,1000,1.4
244,43.3,1000,1.4
246,43.3,1000,1.4
247,43.3,1000,1.4
248,43.3,999,1.4
249,43.9,1000,1.4
250,43.3,1000,1.4
251,43.3,1000,1.4
252,43.3,1000,1.4
254,43.3,1000,1.4
255,43.9,1000,1.4
256,43.3,1000,1.4
257,43.3,1000,1.4
258,43.3,1000,1.4
259,43.9,1000,1.4
261,43.9,1000,1.4
262,43.9,1000,1.4
263,44.4,999,1.4
264,43.3,1000,1.4
265,43.9,999,1.4
266,44.4,1000,1.4
268,43.3,999,1.4
269,44.4,1000,1.4
270,44.4,1000,1.4
271,44.4,1000,1.4
272,44.4,1000,1.4
273,44.4,1000,1.4
275,43.9,1000,1.4
276,44.4,1000,1.4
277,44.4,1000,1.4
278,44.4,1000,1.4
279,44.4,1000,1.4
280,44.4,1000,1.4
281,44.4,1000,1.4
283,44.4,1000,1.4
284,44.4,1000,1.4
285,43.9,1000,1.4
286,44.4,1000,1.4
287,44.4,1000,1.4
288,44.4,1000,1.4
290,44.4,999,1.4
291,44.4,1000,1.4
292,44.4,999,1.4
293,44.9,1000,1.4
294,44.9,1000,1.4
295,44.9,1000,1.4
297,44.9,1000,1.4
298,44.9,999,1.4
299,44.9,1000,1.4
300,44.4,1000,1.4
301,45.5,1000,1.4
302,44.4,1000,1.4
303,44.9,1000,1.4
305,44.4,1000,1.4
306,44.4,1000,1.4
307,44.9,999,1.4
308,44.9,1000,1.4
309,45.5,1000,1.4
310,44.9,1000,1.4
312,45.5,1000,1.4
313,44.9,1000,1.4
314,44.9,1000,1.4
315,45.5,1000,1.4
316,45.5,1000,1.4
317,44.9,1000,1.4
319,45.5,999,1.4
320,45.5,1000,1.4
321,44.9,1000,1.4
322,45.5,1000,1.4
323,44.9,1000,1.4
324,44.4,1000,1.4
325,45.5,1000,1.4
327,45.5,1000,1.4
328,45.5,1000,1.4
329,45.5,1000,1.4
330,45.5,1000,1.4
331,45.5,1000,1.4
332,45.5,1000,1.4
