Elapsed Time (s),Temperature (°C),Clock Speed (MHz),Voltage Core (V)
0,39.2,1000,1.2063
1,39.2,600,1.2
2,38.6,600,1.2
3,38.6,600,1.2
4,38.6,600,1.2
5,38.6,600,1.2
6,39.2,600,1.2
7,39.2,600,1.2
8,39.2,1000,1.2063
9,41.9,1000,1.2063
10,43.5,1000,1.2063
12,45.1,1000,1.2063
13,45.1,1000,1.2063
14,45.1,1000,1.2063
15,46.2,1000,1.2063
16,46.2,1000,1.2063
17,46.7,1000,1.2063
18,44.5,600,1.2
19,42.9,600,1.2063
20,42.4,600,1.2
21,41.9,600,1.2
22,40.8,600,1.2
23,41.9,600,1.2
24,41.9,600,1.2063
25,41.3,600,1.2
26,40.8,600,1.2
27,41.3,600,1.2
28,40.8,600,1.2
29,40.8,600,1.2
30,40.8,600,1.2
31,40.8,600,1.2
32,40.8,600,1.2
34,40.8,600,1.2
35,40.2,600,1.2
36,40.8,600,1.2
37,40.2,600,1.2
38,40.8,600,1.2
39,40.2,600,1.2063
40,40.8,600,1.2
41,40.8,600,1.2
42,40.8,600,1.2
43,39.7,600,1.2
44,39.7,600,1.2
45,40.2,600,1.2
46,40.8,600,1.2
47,40.2,600,1.2
48,39.7,600,1.2
