Elapsed Time (s),Temperature (°C),Clock Speed (MHz),Voltage Core (V)
0,32.2,1000,1.2063
1,32.2,600,1.2
2,31.1,600,1.2
3,32.2,600,1.2
4,31.6,600,1.2
5,33.8,1000,1.2063
6,34.9,1000,1.2063
7,35.4,1000,1.2063
8,35.4,1000,1.2063
9,35.9,1000,1.2063
10,35.4,1000,1.2063
12,35.9,1000,1.2063
13,36.5,1000,1.2063
14,35.9,1000,1.2063
15,36.5,1000,1.2063
16,37.0,1000,1.2063
17,36.5,1000,1.2063
18,36.5,1000,1.2063
19,36.5,1000,1.2063
20,36.5,1000,1.2063
21,36.5,1000,1.2063
22,36.5,1000,1.2063
23,37.6,1000,1.2063
24,37.6,1000,1.2063
25,37.0,1000,1.2063
26,37.0,1000,1.2063
27,37.0,1000,1.2063
28,37.0,1000,1.2063
29,37.6,1000,1.2063
30,37.6,999,1.2063
31,37.6,1000,1.2063
33,37.6,1000,1.2063
34,37.6,1000,1.2063
35,37.6,1000,1.2063
36,37.6,1000,1.2063
37,37.6,1000,1.2063
38,38.1,1000,1.2063
39,38.1,999,1.2063
40,38.1,1000,1.2063
41,38.1,1000,1.2063
42,37.6,1000,1.2063
43,38.1,1000,1.2063
44,38.6,1000,1.2063
45,38.1,1000,1.2063
46,38.6,1000,1.2063
47,38.6,1000,1.2063
48,38.6,1000,1.2063
49,38.6,1000,1.2063
50,38.6,1000,1.2063
51,38.6,1000,1.2063
53,38.6,1000,1.2063
54,39.2,1000,1.2063
55,39.2,1000,1.2063
56,38.6,1000,1.2063
57,39.2,1000,1.2063
58,38.6,1000,1.2063
59,39.2,1000,1.2063
60,39.2,1000,1.2063
61,39.2,1000,1.2063
62,39.2,1000,1.2063
63,39.7,1000,1.2063
64,39.7,1000,1.2063
65,39.2,1000,1.2063
66,39.2,1000,1.2063
67,39.7,1000,1.2063
68,39.2,1000,1.2063
69,39.7,1000,1.2063
70,39.7,1000,1.2063
72,39.7,1000,1.2063
73,39.7,999,1.2063
74,39.7,1000,1.2063
75,39.7,1000,1.2063
76,39.7,1000,1.2063
77,39.7,999,1.2063
78,39.7,1000,1.2063
79,39.2,1000,1.2063
80,39.7,1000,1.2063
81,39.7,1000,1.2063
82,40.2,1000,1.2063
83,40.8,1000,1.2063
84,39.7,1000,1.2063
85,40.2,999,1.2063
86,39.7,1000,1.2063
87,40.8,1000,1.2063
88,39.7,1000,1.2063
89,40.8,1000,1.2063
90,39.7,1000,1.2063
92,40.2,1000,1.2063
93,40.8,1000,1.2063
94,40.2,1000,1.2063
95,40.8,1000,1.2063
96,40.8,1000,1.2063
97,40.8,1000,1.2063
98,40.8,1000,1.2063
99,40.8,1000,1.2063
100,40.8,1000,1.2063
101,40.8,1000,1.2063
102,40.8,1000,1.2063
103,41.3,1000,1.2063
104,40.8,1000,1.2063
105,40.8,1000,1.2063
106,40.8,1000,1.2063
107,40.8,1000,1.2063
108,40.8,1000,1.2063
109,40.8,999,1.2063
110,40.8,1000,1.2063
112,41.3,1000,1.2063
113,40.8,1000,1.2063
114,41.9,1000,1.2063
115,41.3,1000,1.2063
116,41.9,1000,1.2063
117,41.3,1000,1.2063
118,40.8,1000,1.2063
119,41.9,1000,1.2063
120,41.9,1000,1.2063
121,41.9,1000,1.2063
122,41.3,1000,1.2063
123,41.3,1000,1.2063
124,41.9,1000,1.2063
125,41.9,1000,1.2063
126,41.9,1000,1.2063
127,41.9,1000,1.2063
128,41.9,1000,1.2063
129,41.3,1000,1.2063
130,42.4,1000,1.2063
131,41.9,1000,1.2063
133,42.4,1000,1.2063
134,41.9,1000,1.2063
135,42.4,1000,1.2063
136,42.4,1000,1.2063
137,41.9,1000,1.2063
138,42.4,1000,1.2063
139,41.9,1000,1.2063
140,42.4,1000,1.2063
141,42.4,1000,1.2063
142,42.9,1000,1.2063
143,42.9,1000,1.2063
144,42.9,1000,1.2063
145,42.9,1000,1.2063
146,41.9,1000,1.2063
147,42.9,999,1.2063
148,42.9,1000,1.2063
149,42.4,1000,1.2063
150,42.4,1000,1.2063
151,42.4,1000,1.2063
153,42.9,1000,1.2063
154,42.9,1000,1.2063
155,42.4,1000,1.2063
156,42.9,999,1.2063
157,42.4,1000,1.2063
158,42.9,1000,1.2063
159,42.9,1000,1.2063
160,43.5,1000,1.2063
161,42.9,1000,1.2063
162,42.9,1000,1.2063
163,42.9,1000,1.2063
164,42.9,1000,1.2063
165,43.5,1000,1.2063
166,42.9,1000,1.2063
167,42.9,1000,1.2063
168,42.9,1000,1.2063
169,42.9,1000,1.2063
170,43.5,1000,1.2063
172,42.9,1000,1.2063
173,43.5,1000,1.2063
174,43.5,1000,1.2063
175,42.9,1000,1.2063
176,43.5,1000,1.2063
177,43.5,1000,1.2063
178,42.9,1000,1.2063
179,43.5,1000,1.2063
180,42.9,1000,1.2063
181,44.0,1000,1.2063
182,43.5,1000,1.2063
183,44.0,1000,1.2063
184,44.0,1000,1.2063
185,44.0,1000,1.2063
186,43.5,1000,1.2063
187,44.0,1000,1.2063
188,43.5,1000,1.2063
189,42.9,1000,1.2063
190,44.0,1000,1.2063
192,43.5,1000,1.2063
193,44.0,1000,1.2063
194,44.0,1000,1.2063
195,43.5,1000,1.2063
196,44.0,1000,1.2063
197,44.0,1000,1.2063
198,44.5,1000,1.2063
199,44.0,1000,1.2063
200,44.0,1000,1.2063
201,44.0,1000,1.2063
202,44.0,1000,1.2063
203,44.5,1000,1.2063
204,44.0,1000,1.2063
205,44.0,1000,1.2063
206,44.0,1000,1.2063
207,44.0,1000,1.2063
208,44.0,1000,1.2063
209,44.5,1000,1.2063
210,44.5,1000,1.2063
212,45.1,1000,1.2063
213,44.0,1000,1.2063
214,44.0,1000,1.2063
215,45.1,1000,1.2063
216,44.5,1000,1.2063
217,44.5,1000,1.2063
218,44.0,1000,1.2063
219,44.5,1000,1.2063
220,44.0,1000,1.2063
221,45.1,1000,1.2063
222,44.5,1000,1.2063
223,45.1,1000,1.2063
224,45.1,1000,1.2063
